op,star,end,delta
252,79.033000,79.217000,0.184000
253,79.890000,80.076000,0.186000
254,80.692000,80.880000,0.188000
255,81.501000,81.690000,0.189000
256,82.332000,82.538000,0.206000
257,83.205000,83.397000,0.192000
258,84.067000,84.261000,0.194000
259,84.925000,85.120000,0.195000
260,85.788000,85.984000,0.196000
261,86.657000,86.857000,0.200000
262,87.540000,87.779000,0.239000
263,88.549000,88.751000,0.202000
264,89.618000,89.822000,0.204000
265,90.551000,90.755000,0.204000
266,91.416000,91.650000,0.234000
267,92.364000,92.621000,0.257000
268,93.328000,93.536000,0.208000
269,94.246000,94.456000,0.210000
270,95.171000,95.384000,0.213000
271,96.165000,96.377000,0.212000
272,97.111000,97.363000,0.252000
273,98.399000,98.655000,0.256000
274,99.363000,99.581000,0.218000
275,100.322000,100.542000,0.220000
276,101.256000,101.476000,0.220000
277,102.193000,102.415000,0.222000
278,103.136000,103.361000,0.225000
279,104.129000,104.355000,0.226000
280,105.091000,105.318000,0.227000
281,106.205000,106.434000,0.229000
282,107.176000,107.406000,0.230000
283,108.190000,108.422000,0.232000
284,109.205000,109.438000,0.233000
285,110.229000,110.478000,0.249000
286,111.253000,111.490000,0.237000
287,112.346000,112.588000,0.242000
288,113.365000,113.606000,0.241000
289,114.391000,114.633000,0.242000
290,115.423000,115.728000,0.305000
291,116.557000,116.802000,0.245000
292,117.625000,117.871000,0.246000
293,118.707000,118.975000,0.268000
294,119.861000,120.112000,0.251000
295,121.021000,121.384000,0.363000
296,122.295000,122.555000,0.260000
297,123.422000,123.750000,0.328000
298,124.618000,124.876000,0.258000
299,125.738000,126.048000,0.310000
300,126.923000,127.200000,0.277000
301,128.089000,128.352000,0.263000
302,129.203000,129.468000,0.265000
303,130.328000,130.601000,0.273000
304,131.466000,131.780000,0.314000
305,132.684000,132.953000,0.269000
306,133.851000,134.125000,0.274000
307,135.028000,135.301000,0.273000
308,136.248000,136.522000,0.274000
309,137.530000,137.886000,0.356000
310,138.862000,139.307000,0.445000
311,140.231000,140.512000,0.281000
312,141.415000,141.696000,0.281000
313,142.633000,142.925000,0.292000
314,143.914000,144.200000,0.286000
315,145.118000,145.418000,0.300000
316,146.342000,146.632000,0.290000
317,147.561000,147.918000,0.357000
318,148.889000,149.191000,0.302000
319,150.173000,150.470000,0.297000
320,151.445000,151.808000,0.363000
321,152.788000,153.086000,0.298000
322,154.104000,154.443000,0.339000
323,155.554000,155.926000,0.372000
324,156.896000,157.210000,0.314000
325,158.183000,158.488000,0.305000
326,159.617000,159.962000,0.345000
327,160.956000,161.292000,0.336000
328,162.325000,162.636000,0.311000
329,163.698000,164.027000,0.329000
330,165.033000,165.349000,0.316000
331,166.399000,166.718000,0.319000
332,167.809000,168.127000,0.318000
333,169.179000,169.499000,0.320000
334,170.552000,170.950000,0.398000
335,172.206000,172.686000,0.480000
336,173.723000,174.049000,0.326000
337,175.087000,175.416000,0.329000
338,176.521000,176.855000,0.334000
339,177.914000,178.247000,0.333000
340,179.311000,179.734000,0.423000
341,180.807000,181.148000,0.341000
342,182.226000,182.602000,0.376000
343,183.741000,184.082000,0.341000
344,185.165000,185.506000,0.341000
345,186.594000,186.937000,0.343000
346,188.428000,188.825000,0.397000
347,189.979000,190.341000,0.362000
348,191.444000,191.910000,0.466000
349,193.260000,193.634000,0.374000
350,194.791000,195.148000,0.357000
351,196.356000,196.716000,0.360000
352,197.857000,198.234000,0.377000
353,199.429000,199.843000,0.414000
354,200.984000,201.347000,0.363000
355,202.497000,202.862000,0.365000
356,204.143000,204.508000,0.365000
357,205.771000,206.195000,0.424000
358,207.329000,207.757000,0.428000
359,208.930000,209.338000,0.408000
360,210.611000,210.988000,0.377000
361,212.272000,212.654000,0.382000
362,213.871000,214.253000,0.382000
363,215.456000,215.911000,0.455000
364,217.122000,217.504000,0.382000
365,218.715000,219.102000,0.387000
366,220.372000,220.848000,0.476000
367,222.315000,222.692000,0.377000
368,224.047000,224.421000,0.374000
369,226.083000,226.496000,0.413000
370,227.882000,228.284000,0.402000
371,229.580000,230.004000,0.424000
372,231.302000,231.756000,0.454000
373,233.062000,233.477000,0.415000
374,234.747000,235.151000,0.404000
375,236.481000,236.888000,0.407000
376,238.204000,238.611000,0.407000
377,240.109000,240.507000,0.398000
378,241.864000,242.296000,0.432000
379,243.762000,244.161000,0.399000
380,245.470000,245.866000,0.396000
381,247.167000,247.565000,0.398000
382,248.856000,249.303000,0.447000
383,250.675000,251.101000,0.426000
384,252.557000,252.982000,0.425000
385,254.425000,254.877000,0.452000
386,256.347000,256.761000,0.414000
387,258.085000,258.533000,0.448000
388,260.142000,260.592000,0.450000
389,261.963000,262.401000,0.438000
390,263.927000,264.623000,0.696000
391,266.056000,266.509000,0.453000
392,267.985000,268.430000,0.445000
393,269.861000,270.309000,0.448000
394,271.800000,272.309000,0.509000
395,273.914000,274.602000,0.688000
396,276.341000,276.808000,0.467000
397,278.285000,278.760000,0.475000
398,280.284000,280.774000,0.490000
399,282.248000,282.750000,0.502000
400,284.312000,284.775000,0.463000
401,286.261000,286.725000,0.464000
402,288.441000,288.991000,0.550000
403,290.522000,290.999000,0.477000
404,292.594000,293.067000,0.473000
405,294.570000,295.045000,0.475000
406,296.602000,297.091000,0.489000
407,298.606000,299.145000,0.539000
408,300.750000,301.229000,0.479000
409,302.772000,303.255000,0.483000
410,304.958000,305.734000,0.776000
411,307.241000,307.776000,0.535000
412,309.544000,310.090000,0.546000
413,311.737000,312.267000,0.530000
414,313.853000,314.356000,0.503000
415,316.032000,316.570000,0.538000
416,318.165000,318.663000,0.498000
417,320.316000,320.837000,0.521000
418,322.593000,323.071000,0.478000
419,324.694000,325.178000,0.484000
420,326.896000,327.399000,0.503000
421,329.002000,329.502000,0.500000
422,331.122000,331.726000,0.604000
423,333.383000,333.918000,0.535000
424,335.620000,336.175000,0.555000
425,338.042000,338.724000,0.682000
426,340.471000,341.016000,0.545000
427,343.071000,343.686000,0.615000
428,345.391000,345.931000,0.540000
429,347.646000,348.228000,0.582000
430,349.953000,350.487000,0.534000
431,352.247000,352.788000,0.541000
432,354.498000,355.036000,0.538000
433,356.814000,357.356000,0.542000
434,359.110000,359.735000,0.625000
435,361.453000,361.982000,0.529000
436,363.723000,364.259000,0.536000
437,366.073000,366.647000,0.574000
438,368.458000,369.023000,0.565000
439,370.823000,371.506000,0.683000
440,373.251000,373.803000,0.552000
441,375.559000,376.287000,0.728000
442,378.074000,378.652000,0.578000
443,380.597000,381.491000,0.894000
444,383.264000,383.903000,0.639000
445,385.683000,386.254000,0.571000
446,388.110000,388.685000,0.575000
447,390.578000,391.158000,0.580000
448,393.069000,393.672000,0.603000
449,395.513000,396.217000,0.704000
450,398.090000,398.685000,0.595000
451,400.635000,401.230000,0.595000
452,403.099000,403.750000,0.651000
453,405.958000,406.576000,0.618000
454,408.589000,409.618000,1.029000
455,411.597000,412.280000,0.683000
456,414.189000,414.823000,0.634000
457,416.818000,417.443000,0.625000
458,419.361000,420.030000,0.669000
459,421.884000,422.670000,0.786000
460,424.597000,425.181000,0.584000
461,427.176000,427.893000,0.717000
462,429.798000,430.439000,0.641000
463,432.516000,433.159000,0.643000
464,435.124000,435.813000,0.689000
465,437.872000,438.682000,0.810000
466,440.727000,441.373000,0.646000
467,443.908000,444.585000,0.677000
468,446.609000,447.284000,0.675000
469,449.393000,450.055000,0.662000
470,452.120000,452.788000,0.668000
471,454.806000,455.457000,0.651000
472,457.781000,458.484000,0.703000
473,460.769000,461.470000,0.701000
474,463.528000,464.289000,0.761000
475,466.378000,467.044000,0.666000
476,469.174000,469.831000,0.657000
477,472.448000,473.116000,0.668000
478,475.137000,475.882000,0.745000
479,477.997000,478.644000,0.647000
480,480.836000,481.528000,0.692000
481,483.727000,484.412000,0.685000
482,486.528000,487.254000,0.726000
483,489.740000,490.457000,0.717000
484,492.824000,493.601000,0.777000
485,495.831000,496.556000,0.725000
486,498.732000,499.500000,0.768000
487,501.669000,502.408000,0.739000
488,504.812000,505.609000,0.797000
489,507.820000,508.493000,0.673000
490,510.784000,511.513000,0.729000
491,513.762000,514.471000,0.709000
492,517.034000,517.777000,0.743000
493,520.071000,520.843000,0.772000
494,523.243000,524.046000,0.803000
495,526.701000,527.468000,0.767000
496,529.775000,530.538000,0.763000
497,532.884000,533.630000,0.746000
498,535.940000,536.674000,0.734000
499,539.097000,539.902000,0.805000
500,542.097000,542.926000,0.829000
501,545.189000,545.881000,0.692000
502,548.176000,548.976000,0.800000
503,551.304000,552.101000,0.797000
504,554.614000,555.467000,0.853000
505,557.766000,558.988000,1.222000
506,561.539000,562.333000,0.794000
507,564.732000,565.559000,0.827000
508,567.980000,568.731000,0.751000
509,571.043000,571.848000,0.805000
510,574.267000,575.025000,0.758000
511,577.461000,578.252000,0.791000
512,580.698000,581.451000,0.753000
513,583.957000,584.742000,0.785000
514,587.154000,588.195000,1.041000
515,590.706000,591.574000,0.868000
516,594.418000,595.238000,0.820000
517,597.736000,598.564000,0.828000
518,601.150000,601.991000,0.841000
519,604.516000,605.353000,0.837000
520,607.960000,608.764000,0.804000
521,611.376000,612.276000,0.900000
522,614.793000,615.710000,0.917000
523,618.271000,619.087000,0.816000
524,622.396000,623.299000,0.903000
525,626.315000,627.119000,0.804000
526,629.690000,630.544000,0.854000
527,633.153000,633.988000,0.835000
528,636.606000,637.436000,0.830000
529,640.117000,641.055000,0.938000
530,644.123000,645.003000,0.880000
531,647.640000,648.515000,0.875000
532,651.087000,651.992000,0.905000
533,654.775000,655.763000,0.988000
534,658.312000,659.203000,0.891000
535,661.906000,662.760000,0.854000
536,665.448000,666.304000,0.856000
537,668.968000,669.823000,0.855000
538,672.700000,673.854000,1.154000
539,676.629000,677.485000,0.856000
540,680.248000,681.131000,0.883000
541,683.879000,684.767000,0.888000
542,687.557000,688.549000,0.992000
543,691.272000,692.215000,0.943000
544,694.931000,695.894000,0.963000
545,698.593000,699.587000,0.994000
546,702.343000,703.262000,0.919000
547,706.311000,707.173000,0.862000
548,710.523000,711.539000,1.016000
549,714.343000,715.276000,0.933000
550,718.079000,719.022000,0.943000
551,721.746000,722.771000,1.025000
552,725.492000,726.504000,1.012000
553,729.209000,730.089000,0.880000
554,732.988000,733.939000,0.951000
555,736.777000,737.850000,1.073000
556,740.879000,742.014000,1.135000
557,745.188000,746.220000,1.032000
558,749.159000,750.102000,0.943000
559,752.976000,753.912000,0.936000
560,756.774000,757.707000,0.933000
561,760.567000,761.511000,0.944000
562,764.435000,765.399000,0.964000
563,768.351000,769.301000,0.950000
564,772.516000,773.450000,0.934000
565,776.667000,777.671000,1.004000
566,780.615000,781.591000,0.976000
567,784.567000,785.532000,0.965000
568,788.484000,789.596000,1.112000
569,792.504000,793.493000,0.989000
570,796.505000,797.445000,0.940000
571,800.480000,801.460000,0.980000
572,804.686000,805.818000,1.132000
573,809.166000,810.292000,1.126000
574,813.466000,814.499000,1.033000
575,817.560000,818.558000,0.998000
576,821.542000,822.646000,1.104000
577,825.668000,826.729000,1.061000
578,829.727000,830.691000,0.964000
579,833.822000,834.831000,1.009000
580,838.211000,839.253000,1.042000
581,842.760000,843.864000,1.104000
582,846.969000,848.056000,1.087000
583,851.157000,852.238000,1.081000
584,855.353000,856.567000,1.214000
585,860.111000,861.168000,1.057000
586,864.534000,865.624000,1.090000
587,868.813000,869.847000,1.034000
588,873.380000,874.399000,1.019000
589,877.591000,878.628000,1.037000
590,881.913000,882.997000,1.084000
591,886.217000,887.410000,1.193000
592,890.870000,892.108000,1.238000
593,895.709000,896.820000,1.111000
594,900.137000,901.218000,1.081000
595,904.545000,905.774000,1.229000
596,909.037000,910.107000,1.070000
597,913.313000,914.358000,1.045000
598,917.692000,918.786000,1.094000
599,922.374000,923.501000,1.127000
600,927.127000,928.258000,1.131000
601,931.462000,932.652000,1.190000
602,935.962000,937.092000,1.130000
603,940.444000,941.475000,1.031000
604,944.824000,945.872000,1.048000
605,949.310000,950.439000,1.129000
606,953.874000,955.249000,1.375000
607,958.710000,960.233000,1.523000
608,963.701000,964.832000,1.131000
609,968.274000,969.382000,1.108000
610,972.931000,974.044000,1.113000
611,977.374000,978.612000,1.238000
612,982.199000,983.398000,1.199000
613,986.791000,988.161000,1.370000
614,991.714000,993.315000,1.601000
615,996.879000,998.043000,1.164000
616,1001.564000,1002.703000,1.139000
617,1006.365000,1007.485000,1.120000
618,1011.019000,1012.245000,1.226000
619,1015.830000,1017.000000,1.170000
620,1020.584000,1022.060000,1.476000
621,1025.859000,1027.279000,1.420000
622,1030.868000,1032.111000,1.243000
623,1035.713000,1036.880000,1.167000
624,1040.628000,1042.096000,1.468000
625,1045.688000,1046.859000,1.171000
626,1050.666000,1051.901000,1.235000
627,1055.646000,1056.839000,1.193000
628,1060.486000,1061.700000,1.214000
629,1065.432000,1066.623000,1.191000
630,1070.240000,1071.426000,1.186000
631,1075.380000,1076.741000,1.361000
632,1080.358000,1081.514000,1.156000
633,1085.248000,1086.470000,1.222000
634,1090.428000,1091.700000,1.272000
635,1095.390000,1096.715000,1.325000
636,1100.467000,1101.696000,1.229000
637,1105.760000,1106.951000,1.191000
638,1111.154000,1112.422000,1.268000
639,1116.114000,1117.354000,1.240000
640,1121.051000,1122.536000,1.485000
641,1126.295000,1127.577000,1.282000
642,1131.177000,1132.534000,1.357000
643,1136.317000,1137.694000,1.377000
644,1141.693000,1143.471000,1.778000
645,1147.128000,1148.444000,1.316000
646,1152.300000,1153.560000,1.260000
647,1157.660000,1158.998000,1.338000
648,1162.919000,1164.323000,1.404000
649,1168.171000,1169.461000,1.290000
650,1173.435000,1174.853000,1.418000
651,1178.898000,1180.251000,1.353000
652,1184.128000,1185.431000,1.303000
653,1189.452000,1190.707000,1.255000
654,1194.656000,1196.020000,1.364000
655,1199.888000,1201.236000,1.348000
656,1205.528000,1206.826000,1.298000
657,1211.370000,1212.735000,1.365000
658,1216.786000,1218.097000,1.311000
659,1222.152000,1223.490000,1.338000
660,1227.580000,1228.840000,1.260000
661,1232.932000,1234.264000,1.332000
662,1238.530000,1239.930000,1.400000
663,1244.442000,1245.822000,1.380000
664,1249.934000,1251.328000,1.394000
665,1255.424000,1256.924000,1.500000
666,1261.348000,1262.747000,1.399000
667,1267.084000,1268.505000,1.421000
668,1272.656000,1273.984000,1.328000
669,1278.094000,1279.444000,1.350000
670,1283.528000,1284.886000,1.358000
671,1289.319000,1290.706000,1.387000
672,1295.317000,1296.738000,1.421000
673,1300.911000,1302.276000,1.365000
674,1306.495000,1307.855000,1.360000
675,1312.016000,1313.357000,1.341000
676,1317.558000,1318.932000,1.374000
677,1323.523000,1325.144000,1.621000
678,1329.473000,1330.844000,1.371000
679,1335.078000,1336.538000,1.460000
680,1340.723000,1342.155000,1.432000
681,1346.328000,1347.762000,1.434000
682,1352.074000,1353.552000,1.478000
683,1358.140000,1360.089000,1.949000
684,1364.447000,1365.936000,1.489000
685,1370.222000,1371.762000,1.540000
686,1376.037000,1377.420000,1.383000
687,1381.730000,1383.248000,1.518000
688,1387.707000,1389.353000,1.646000
689,1394.108000,1395.671000,1.563000
690,1400.097000,1401.572000,1.475000
691,1406.088000,1407.580000,1.492000
692,1412.115000,1413.654000,1.539000
693,1418.248000,1419.768000,1.520000
694,1424.420000,1426.465000,2.045000
695,1430.964000,1432.560000,1.596000
696,1437.016000,1438.612000,1.596000
697,1443.283000,1444.751000,1.468000
698,1449.124000,1450.625000,1.501000
699,1455.177000,1456.655000,1.478000
700,1461.412000,1462.890000,1.478000
701,1467.461000,1468.935000,1.474000
702,1473.691000,1475.643000,1.952000
703,1480.160000,1481.703000,1.543000
704,1486.272000,1487.878000,1.606000
705,1492.571000,1494.033000,1.462000
706,1498.476000,1500.106000,1.630000
707,1504.993000,1506.515000,1.522000
708,1511.629000,1513.113000,1.484000
709,1517.754000,1519.371000,1.617000
710,1523.963000,1525.527000,1.564000
711,1529.981000,1531.524000,1.543000
